,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-01-29,41.0,0.27724328913591495,0.2591783669124572,-0.1,0.09375,0.21212121212121213,0.45,0.91552734375,41.0,0.4761032581916726,0.1985633600260068,0.06666666666666668,0.3011904761904762,0.5055555555555555,0.6000000000000001,1.0
2010-01-30,26.0,0.20747419247419238,0.19113553865432614,-0.1,0.11952380952380952,0.1595238095238095,0.27499999999999997,0.625,26.0,0.4187294116140271,0.19955999055780155,0.06666666666666668,0.3011904761904762,0.3581349206349206,0.5170454545454546,0.9
2010-01-31,32.0,0.18200673024891775,0.30115557131996945,-0.5,0.001979166666666664,0.1595238095238095,0.37909090909090915,0.8,32.0,0.4168994373681874,0.1798952899572975,0.1,0.3011904761904762,0.4136363636363637,0.475,1.0
2010-02-01,138.0,0.3202861979411741,0.33848109617100747,-0.8,0.13636363636363635,0.2822510822510822,0.5,1.0,138.0,0.4783535100835827,0.2306492568146791,0.05555555555555556,0.33333333333333337,0.4545454545454545,0.5958333333333332,1.0
2010-02-02,76.0,0.2776240732038431,0.32690309915980975,-1.0,0.1,0.28648989898989896,0.5,0.9,76.0,0.4702233804207488,0.2638281971844402,0.03333333333333333,0.30089285714285713,0.4,0.6208333333333332,1.0
2010-02-03,65.0,0.30068192744755246,0.3017494940914437,-0.3333333333333333,0.06818181818181818,0.2857142857142857,0.4921283143939393,1.0,65.0,0.49666588966588965,0.21198888411576192,0.05,0.3333333333333333,0.5,0.6666666666666666,1.0
2010-02-04,113.0,0.28584980154739553,0.28865226236140445,-0.625,0.18333333333333326,0.2857142857142857,0.4928571428571428,1.0,113.0,0.5049979089249002,0.19887303511889365,0.03333333333333333,0.36666666666666653,0.5333333333333333,0.65,1.0
2010-02-05,78.0,0.296493542626355,0.26439608290497685,-0.4,0.14539141414141413,0.3065972222222222,0.4152018229166666,1.0,78.0,0.5386296034212702,0.247076304728584,0.05,0.3857142857142857,0.558080808080808,0.6666666666666666,1.0
2010-02-06,43.0,0.1637748120742307,0.2560033449855792,-0.4,0.04412878787878788,0.16666666666666666,0.2689583333333333,0.8,43.0,0.43206600892647407,0.18333536898230557,0.06666666666666668,0.3125,0.4583333333333333,0.54125,0.75
2010-02-07,73.0,0.24096542726679704,0.2680373802626068,-0.4583333333333333,0.09999999999999998,0.21428571428571427,0.4166666666666666,1.0,73.0,0.5210562078712763,0.2364817102685143,0.05,0.3583333333333333,0.5333333333333333,0.65,1.0
